"zone","state","lga","sector","ea","hhid","s9q29a","s9q29b","s9q29c","s9q30a","s9q30b","s9q30c"
6,13,1301,1,0,130072,71,72,73,,,
6,13,1301,1,1206,130073,62,83,82,,,
6,13,1301,1,0,130074,73,71,72,,,
6,13,1301,1,0,130075,71,72,73,,,
6,13,1301,1,1206,130076,,,,71,72,73
6,13,1301,1,1206,130077,72,71,63,,,
6,13,1301,1,1206,130078,61,71,72,,,
6,13,1301,1,0,130080,71,72,73,,,
4,14,1401,2,1116,140001,,,,71,72,73
5,32,3213,2,0,140002,,,,11,71,82
4,14,1401,2,1116,140003,,,,71,72,73
4,14,1401,2,1116,140004,,,,71,74,
4,14,1403,2,0,140005,,,,92,132,
4,14,1401,2,1116,140006,,,,71,72,
4,14,1401,2,1116,140007,,,,,,
4,14,1401,2,1116,140008,,,,32,71,
4,14,1401,2,1116,140009,,,,11,31,61
4,14,1401,2,1116,140010,,,,31,61,81
4,14,1407,2,68,140011,83,,,,,
4,14,1407,2,68,140012,72,,,,,
4,14,1407,2,68,140013,,,,71,,
4,14,1407,2,68,140014,,,,71,72,
4,14,1407,2,68,140015,,,,101,121,
4,14,1407,2,68,140016,71,101,,,,
4,14,1407,2,68,140017,,,,63,71,92
4,14,1407,2,68,140018,,,,63,101,131
4,14,1407,2,68,140019,83,,,,,
4,14,1407,2,68,140020,71,72,73,,,
4,14,1408,2,1996,140021,,,,81,83,
4,14,1408,2,1996,140022,61,62,,,,
4,14,1408,2,1996,140023,81,,,,,
4,14,1408,2,1996,140024,,,,,,
4,14,1408,2,1996,140025,81,71,,,,
4,14,1408,2,1996,140026,81,,,,,
4,14,1408,2,1996,140027,71,63,83,,,
4,14,1408,2,1996,140030,71,,,,,
4,14,1413,1,2578,140031,71,72,,,,
4,14,1413,1,2578,140032,63,72,71,,,
4,14,1413,1,2578,140033,,,,71,,
4,14,1413,1,2578,140034,81,,,,,
4,14,1413,1,2578,140035,12,13,32,,,
4,14,1413,1,2578,140036,,,,12,71,81
4,14,1413,1,2578,140037,,,,71,72,73
4,14,1413,1,2578,140038,,,,71,72,73
4,14,1413,1,2578,140039,32,82,,,,
4,14,1413,1,2578,140040,71,72,,,,
4,14,1415,2,952,140041,121,132,,,,
4,14,1415,2,952,140042,12,31,,,,
4,14,1415,2,952,140043,73,,,,,
4,14,1415,2,952,140044,,,,71,72,73
4,14,1415,2,952,140045,,,,,,
4,14,1415,2,952,140046,,,,,,
4,14,1415,2,952,140047,,,,12,31,81
4,14,1415,2,952,140048,61,62,,,,
4,14,1415,2,952,140049,71,72,75,,,
4,14,1415,2,952,140050,,,,71,72,
4,14,1403,1,34,140051,,,,91,72,73
6,24,2418,1,0,140052,11,81,63,,,
4,14,1403,1,34,140053,61,62,81,,,
4,14,1403,1,34,140054,83,92,93,,,
4,14,1403,1,34,140055,111,,,,,
4,14,1403,1,0,140059,,,,92,,
4,14,1406,2,694,140061,,,,61,71,81
4,14,1406,2,694,140062,82,83,,,,
4,14,1406,2,694,140063,,,,71,73,
4,14,1406,2,694,140065,72,73,,,,
4,14,1406,2,694,140066,,,,71,72,75
4,14,1406,2,694,140067,71,72,,,,
4,14,1406,2,694,140068,,,,71,72,
4,14,1406,2,694,140069,71,72,73,,,
4,14,1406,2,694,140070,,,,71,72,74
4,14,1413,2,670,140071,,,,,,
4,14,1413,2,670,140072,73,,,,,
4,14,1413,2,670,140073,71,72,,,,
4,14,1413,2,670,140074,111,,,,,
4,14,1413,2,670,140075,,,,61,63,71
4,14,1413,2,0,140076,,,,,,
4,14,1413,2,670,140077,71,72,75,,,
4,14,1413,2,670,140078,,,,,,
4,14,1413,2,670,140079,62,71,81,,,
4,14,1413,2,670,140080,81,82,111,,,
4,14,1410,2,236,140082,,,,75,,
4,14,1410,2,236,140083,81,,,,,
4,14,1410,2,236,140084,,,,71,72,74
4,14,1410,2,236,140085,71,72,73,,,
4,14,1410,2,236,140086,,,,12,32,92
4,14,1410,2,236,140087,,,,13,81,111
1,26,2623,1,0,140088,,,,92,72,132
4,14,1410,2,236,140089,,,,,,
4,14,1410,2,236,140090,,,,71,72,
4,14,1404,1,96,140091,74,75,,,,
4,14,1404,1,96,140092,72,,,,,
4,14,1404,1,96,140093,63,71,72,,,
4,14,1404,1,0,140094,33,63,83,,,
4,14,1404,1,96,140096,12,13,,,,
4,14,1404,1,96,140097,71,72,,,,
4,14,1404,1,96,140098,63,71,72,,,
4,14,1404,1,96,140099,71,72,,,,
4,14,1404,1,96,140100,71,72,73,,,
4,14,1408,2,968,140101,71,,,,,
4,14,1408,2,968,140102,,,,92,,
4,14,1408,2,968,140103,71,,,,,
4,14,1408,2,968,140104,71,61,62,,,
4,14,1408,2,968,140105,62,63,64,,,
4,14,1408,2,968,140106,,,,13,71,121
4,14,1408,2,968,140107,12,62,,,,
4,14,1408,2,0,140108,63,93,,,,
4,14,1408,2,968,140109,83,,,,,
4,14,1408,2,968,140110,61,13,31,,,
4,14,1411,2,1066,140112,,,,71,72,
4,14,1411,2,1066,140113,61,,,,,
4,14,1411,2,1066,140114,,,,62,82,92
4,14,1411,2,1066,140115,,,,62,71,121
4,14,1411,2,1066,140116,,,,71,72,73
4,14,1411,2,1066,140117,71,72,75,,,
4,14,1411,2,1066,140118,,,,111,,
4,14,1411,2,1066,140119,,,,71,72,
4,14,1411,2,1066,140120,,,,71,72,
4,14,1416,2,2314,140121,,,,71,72,
4,14,1416,2,2314,140122,71,72,74,,,
4,14,1416,2,2314,140123,,,,64,,
4,14,1416,2,2314,140124,71,72,73,,,
4,14,1416,2,2314,140125,71,,,,,
4,14,1416,2,2314,140126,,,,81,82,92
4,14,1416,2,2314,140127,71,81,,,,
4,14,1416,2,2314,140128,,,,71,72,74
4,14,1416,2,2314,140129,61,81,83,,,
4,14,1416,2,2314,140130,71,72,74,,,
4,14,1415,2,156,140131,81,,,,,
4,14,1415,2,156,140132,71,83,,,,
4,14,1415,2,156,140133,,,,71,72,73
4,14,1415,2,156,140134,71,72,73,,,
4,14,1415,2,156,140135,63,71,72,,,
4,14,1415,2,156,140136,33,,,,,
4,14,1415,2,156,140139,72,,,,,
4,14,1415,2,156,140140,72,75,,,,
2,15,1506,1,398,150001,72,93,83,,,
2,15,1506,1,398,150002,83,71,111,,,
2,15,1506,1,398,150003,71,72,73,,,
2,15,1506,1,398,150004,71,81,92,,,
2,15,1506,1,398,150005,63,72,92,,,
2,15,1506,1,398,150006,,,,71,92,
2,15,1506,1,398,150007,71,83,93,,,
2,15,1506,1,398,150008,71,72,73,,,
2,15,1506,1,398,150010,,,,71,72,92
2,15,1508,2,1682,150011,63,71,92,,,
2,15,1508,2,1682,150012,,,,71,82,91
2,15,1508,2,1682,150013,,,,74,75,72
2,15,1508,2,1682,150014,,,,71,72,74
2,15,1508,2,1682,150015,81,71,112,,,
2,15,1508,2,1682,150016,,,,71,73,75
2,15,1508,2,1682,150017,,,,71,83,112
2,15,1508,2,1682,150018,,,,71,72,74
2,15,1508,2,1682,150019,,,,71,132,74
2,15,1508,2,1682,150020,,,,71,72,73
2,15,1511,2,1938,150021,83,72,,,,
2,15,1511,2,1938,150022,71,72,74,,,
2,15,1511,2,1938,150023,71,92,111,,,
2,15,1511,2,1938,150024,71,72,74,,,
2,15,1511,2,1938,150025,,,,71,92,111
2,15,1511,2,1938,150026,,,,71,75,83
2,15,1511,2,1938,150027,,,,74,71,72
2,15,1511,2,1938,150028,71,111,92,,,
2,15,1511,2,1938,150029,71,81,91,,,
2,15,1511,2,1938,150030,74,71,22,,,
2,15,1502,2,590,150031,75,82,61,,,
2,15,1502,2,590,150032,74,71,72,,,
2,15,1502,2,590,150033,,,,,,
2,15,1502,2,590,150034,,,,61,62,64
2,15,1502,2,590,150035,92,71,72,,,
2,15,1502,2,590,150036,,,,74,72,71
2,15,1502,2,590,150037,62,71,91,,,
2,15,1502,2,590,150038,72,71,74,,,
2,15,1502,2,590,150039,,,,11,61,81
2,15,1502,2,590,150040,82,83,111,,,
2,15,1510,2,616,150041,71,81,92,,,
2,15,1510,2,616,150042,71,91,112,,,
2,15,1510,2,616,150043,71,72,73,,,
2,15,1510,2,616,150044,73,74,71,,,
2,15,1510,2,616,150045,91,92,71,,,
2,15,1510,2,616,150046,31,75,81,,,
2,15,1510,2,616,150047,73,72,71,,,
2,15,1510,2,616,150048,71,81,,,,
2,15,1510,2,616,150049,31,71,82,,,
2,15,1510,2,616,150050,31,22,82,,,
2,15,1507,2,458,150051,,,,71,72,73
2,15,1507,2,458,150052,61,83,71,,,
2,15,1507,2,458,150053,,,,111,71,63
2,15,1507,2,458,150054,,,,71,72,73
2,15,1507,2,458,150055,,,,71,92,81
2,15,1507,2,458,150056,12,71,83,,,
2,15,1507,2,458,150057,92,111,71,,,
2,15,1507,2,458,150058,,,,71,74,83
2,15,1507,2,458,150059,73,72,71,,,
2,15,1507,2,458,150060,63,71,92,,,
2,15,1503,2,634,150061,81,71,92,,,
2,15,1503,2,634,150062,,,,71,112,83
2,15,1503,2,634,150063,73,72,71,,,
2,15,1503,2,634,150064,,,,71,72,73
2,15,1503,2,634,150065,71,83,,,,
2,15,1503,2,634,150066,111,71,92,,,
2,15,1503,2,634,150067,,,,71,72,73
