"zone","state","lga","sector","ea","hhid","plotid","s11aq4a","s11aq4b","s11aq4c","s11aq4d","s11aq5c","s11aq6"
2,2,201,2,60,20027,1,1,6,,1516,101,1
2,2,201,2,60,20028,1,80,2,,532.6,1801,1
2,2,201,2,60,20028,2,30,2,,1502.2,1802,1
2,2,201,2,60,20028,3,700,3,,2359,1803,1
2,2,201,2,60,20029,1,50,2,,1241.9,,1
2,2,201,2,60,20029,2,2,6,,6452.1,,2
2,2,201,2,60,20029,3,1,6,,3415.8,,3
2,2,216,2,200,20031,1,2,6,,5537.9,1601,1
2,2,216,2,200,20031,2,3,6,,26814,1602,1
2,2,216,2,200,20031,3,2,6,,5490.5,1603,1
2,2,216,2,200,20032,1,2,6,,9430.5,3201,1
2,2,216,2,200,20032,2,8,6,,9856.3,3202,1
2,2,216,2,200,20032,3,1,6,,5636.5,3203,2
2,2,216,2,200,20032,4,1,6,,461.2,3204,1
2,2,216,2,200,20033,1,2,6,,2898.4,401,1
2,2,216,2,200,20033,2,1,6,,2870.3,402,1
2,2,216,2,200,20033,3,2,6,,2128.41,403,1
2,2,216,2,200,20033,4,3,6,,1880.49,404,1
2,2,216,2,200,20034,1,300,2,,64035,3501,1
2,2,216,2,200,20034,2,400,2,,8,3502,1
2,2,216,2,200,20034,3,250,2,,76035,3503,1
2,2,216,2,200,20035,1,2,5,,4209.8,101,1
2,2,216,2,200,20035,2,3,5,,12238,102,1
2,2,216,2,200,20036,1,1,5,,,1001,1
2,2,216,2,200,20036,2,1,5,,,1002,1
2,2,216,2,200,20036,3,1,6,,,1003,1
2,2,216,2,200,20037,1,1,6,,8743.3,1901,1
2,2,216,2,200,20037,2,2,6,,9841.5,1902,1
2,2,216,2,200,20037,3,1,6,,7104.1,1903,1
2,2,216,2,200,20038,1,1,6,,1875,2201,1
2,2,216,2,200,20038,2,1,5,,2035,2202,1
2,2,216,2,200,20039,1,170,,,392.13,2601,1
2,2,216,2,200,20039,2,180,,,7603.5,2602,1
2,2,216,2,200,20040,1,10,5,,87368,701,1
2,2,216,2,200,20040,2,4,5,,21447,702,1
2,2,216,2,200,20040,3,2,5,,9723.9,703,1
2,2,203,2,1224,20041,1,4,5,,2673.3,701,1
2,2,203,2,1224,20041,2,5,5,,2368.5,702,1
2,2,203,2,1224,20041,3,,,,,,
2,2,203,2,1224,20042,1,0.5,6,,2316.5,1801,1
2,2,203,2,1224,20042,2,1,6,,3243.4,1802,1
2,2,203,2,1224,20042,3,0.5,6,,2806,1803,1
2,2,203,2,1224,20043,1,3,5,,2413.5,801,1
2,2,203,2,1224,20043,2,4,5,,1869.4,802,1
2,2,203,2,1224,20044,1,2,6,,1555.9,301,1
2,2,203,2,1224,20044,2,4,5,,2354.8,302,1
2,2,203,2,1224,20044,3,2,5,,2144.3,303,1
2,2,203,2,1224,20044,4,1,5,,3589.5,304,1
2,2,203,2,1224,20044,5,5,5,,2708.11,305,1
2,2,203,2,1224,20044,6,4,5,,2081.9,306,1
2,2,203,2,1224,20045,1,2,5,,5081.5,1201,1
2,2,203,2,1224,20045,2,3,5,,6774.9,1202,2
2,2,203,2,1224,20045,3,2,5,,4986.1,1203,1
2,2,203,2,1224,20045,4,3,5,,6952.7,1204,3
2,2,203,2,1224,20046,1,2.5,5,,1403,101,1
2,2,203,2,1224,20046,2,3,5,,1879,102,1
2,2,203,2,1224,20046,3,4,5,,2081,103,1
2,2,203,2,1224,20046,4,1.5,5,,1589.3,104,1
2,2,203,2,1224,20047,1,10,5,,2817.1,1601,1
2,2,203,2,1224,20047,2,5,5,,1306.5,1602,1
2,2,203,2,1224,20047,3,6,5,,1860.2,1603,1
2,2,203,2,1224,20047,4,7,5,,1846,1604,1
2,2,203,2,1224,20048,1,260,2,,1040,1401,1
2,2,203,2,1224,20048,2,2,5,,39258,1402,1
2,2,203,2,1224,20049,1,3,6,,2392.3,501,1
2,2,203,2,1224,20049,2,1,6,,4349.3,502,1
2,2,203,2,1224,20049,3,2,6,,2806,503,1
2,2,203,2,1224,20050,1,1,6,,2555.4,1001,1
2,2,203,2,1224,20050,2,5,5,,3407.2,1002,1
2,2,203,2,1224,20050,3,3,5,,3421.9,1003,2
2,2,212,2,956,20051,1,3,5,,3092.5,1601,1
2,2,212,2,956,20051,2,4,5,,3282.4,1602,1
2,2,212,2,956,20052,1,1,6,,4310.3,1501,1
2,2,212,2,956,20053,1,1,5,,4063.6,901,1
2,2,212,2,956,20054,1,3,5,,3871.5,1801,1
2,2,212,2,956,20054,2,3,5,,2982.2,1802,1
2,2,212,2,956,20055,1,2,2,,11853,,1
2,2,212,2,956,20055,2,,,,,,
2,2,212,2,956,20056,1,3,5,,3017.8,1,1
2,2,212,2,956,20056,2,4,5,,2879.3,2,1
2,2,212,2,956,20057,1,1,6,,2673.3,301,1
2,2,212,2,956,20057,2,4,6,,9462,301,1
2,2,212,2,956,20058,1,1,5,,5382.4,501,1
2,2,212,2,956,20059,1,1,6,,3870.5,101,1
2,2,212,2,956,20059,2,1,6,,2989.3,102,1
2,2,212,2,956,20059,3,1,6,,2301.2,103,1
2,2,212,2,956,20059,4,1,2,,2803,104,1
